,movieId,title,genres,extra_metadata
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Tom Hanks Tim Allen Wallace Shawn Annie Potts Erik von Detten Laurie Metcalf R. Lee Ermey Mickie McGowan Nathan Lane Chris Sanders Mickie McGowanled by woody andys toys live happily in his room until andys birthday brings buzz lightyear onto the scene afraid of losing his place in andys heart woody plots against buzz but when circumstances separate buzz and woody from their owner the duo eventually learns to put aside their differences
1,2,Jumanji (1995),Adventure|Children|Fantasy,Robin Williams Kirsten Dunst Bonnie Hunt Jonathan Hyde Patricia Clarkson James Horner James Hornerwhen siblings judy and peter discover an enchanted board game that opens the door to a magical world they unwittingly invite alan  an adult whos been trapped inside the game for 26 years  into their living room alans only hope for freedom is to finish the game which proves risky as all three find themselves running from giant rhinoceroses evil monkeys and other terrifying creatures
2,3,Grumpier Old Men (1995),Comedy|Romance,Ann-Margret Sophia Loren Daryl Hannah Burgess Meredith Kevin Pollaka family wedding reignites the ancient feud between nextdoor neighbors and fishing buddies john and max meanwhile a sultry italian divorcée opens a restaurant at the local bait shop alarming the locals who worry shell scare the fish away but shes less interested in seafood than she is in cooking up a hot time with max
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,Angela Bassett Dennis Haysbert Mykelti Williamson Giancarlo Esposito Kelly Preston Wesley Snipes Forest Whitakercheated on mistreated and stepped on the women are holding their breath waiting for the elusive good man to break a string of lessthanstellar lovers friends and confidants vannah bernie glo and robin talk it all out determined to find a better way to breathe
4,5,Father of the Bride Part II (1995),Comedy,Steve Martin Diane Keaton Martin Short Kimberly Williams-Paisley Kieran Culkin BD Wong Jane Adams Eugene Levy Cindy Williamsjust when george banks has recovered from his daughters wedding he receives the news that shes pregnant  and that georges wife is expecting too he was planning on selling their home but thats a plan that—like george—will have to change with the arrival of both a grandchild and a kid of his own
5,6,Heat (1995),Action|Crime|Thriller,Al Pacino Robert De Niro Val Kilmer Jon Voight Tom Sizemore Diane Venora Amy Brenneman Ashley Judd Mykelti Williamson Wes Studi Ted Levine Natalie Portman Danny Trejo William Fichtner Hank Azaria Dennis Haysbert Henry Rollins Xander Berkeley Brian Libby Michael Mann Michael Mann Michael Mannobsessive master thief neil mccauley leads a topnotch crew on various daring heists throughout los angeles while determined detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence
6,7,Sabrina (1995),Comedy|Romance,Harrison Ford Julia Ormond Greg Kinnear Richard Crenna Angie Dickinson Lauren Holly Fanny Ardant Paul Giamatti J. Smith-Cameronan ugly duckling having undergone a remarkable change still harbors feelings for her crush a carefree playboy but not before his businessfocused brother has something to say about it
7,8,Tom and Huck (1995),Adventure|Children,Jonathan Taylor Thomas Rachael Leigh Cooka mischievous young boy tom sawyer witnesses a murder by the deadly injun joe tom becomes friends with huckleberry finn a boy with no future and no family tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder tom and huck go through several adventures trying to retrieve evidence
8,9,Sudden Death (1995),Action,Jean-Claude Van Damme Powers Boothe Ross Malingerwhen a mans daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by games end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer
9,10,GoldenEye (1995),Action|Adventure|Thriller,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Judi Dench Samantha Bond Minnie Driver Tina Turnerwhen a powerful satellite system falls into the hands of alec trevelyan aka agent 006 a former allyturnedenemy only james bond can save the world from a dangerous space weapon that  in one short pulse  could destroy the earth as bond squares off against his former compatriot he also battles xenia onatopp an assassin who uses pleasure as her ultimate weapon
10,11,"American President, The (1995)",Comedy|Drama|Romance,Michael Douglas Annette Bening Martin Sheen Samantha Mathis Wendie Malick Michael J. Fox Richard Dreyfuss Leslie Bega Rob Reiner Rob Reinerwidowed us president andrew shepherd one of the worlds most powerful men can have anything he wants  and what he covets most is sydney ellen wade a washington lobbyist but shepherds attempts at courting her spark wild rumors and decimate his approval ratings
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,Leslie Nielsen Mel Brooks Lysette Anthony Harvey Korman Anne Bancroft Mel Brooks Mel Brooks Mel Brookswhen a lawyer shows up at the vampires doorstep he falls prey to his charms and joins him in his search for fresh blood enter professor van helsing who may be the only one able to vanquish the count
12,13,Balto (1995),Adventure|Animation|Children,Kevin Bacon Bob Hoskins Bridget Fonda Jim Cummings Frank Welker Steven Spielberg James Horneran outcast halfwolf risks his life to prevent a deadly epidemic from ravaging nome alaska
13,14,Nixon (1995),Drama,Anthony Hopkins Joan Allen Powers Boothe Ed Harris Bob Hoskins Mary Steenburgen James Woods Kevin Dunn Annabeth Gish Tom Bower Tony Goldwyn Larry Hagman Dan Hedaya John C. McGinley Michael Chiklis Bridgette Wilson-Sampras Julie Condra Bai Ling John Stockwell Sam Waterston Oliver Stone Oliver Stone Oliver Stonea look at president richard m nixon—a man carrying the fate of the world on his shoulders while battling the selfdestructive demands from within—spanning his troubled boyhood in california to the shocking watergate scandal that would end his presidency
14,15,Cutthroat Island (1995),Action|Adventure|Romance,Geena Davis Matthew Modine Frank Langella Stan Shaw Rex Linn Christopher Mastersonmorgan adams and her slave william shaw are on a quest to recover the three portions of a treasure map unfortunately the final portion is held by her murderous uncle dawg her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her this is made yet more difficult by the efforts of the british crown to end her pirate raids
15,16,Casino (1995),Crime|Drama,Robert De Niro Sharon Stone Joe Pesci Kevin Pollak James Woods L.Q. Jones Frank Vincent Richard Riehle Martin Scorsese Martin Scorsesein early1970s las vegas sam ace rothstein gets tapped by his bosses to head the tangiers casino at first hes a great success in the job but over the years problems with his loosecannon enforcer nicky santoro his exhustler wife ginger her conartist ex lester diamond and a handful of corrupt politicians put sam in everincreasing danger
16,17,Sense and Sensibility (1995),Drama|Romance,Emma Thompson Kate Winslet Alan Rickman Hugh Grant Gemma Jones Harriet Walter James Fleet Imelda Staunton Hugh Laurie Tom Wilkinson Emma Thompsonbased on jane austens classic novel of the dashwood sisters sensible elinor and passionate marianne whose chances at marriage seem doomed by their familys sudden loss of fortune  when henry dashwood dies unexpectedly his estate must pass on by law to his son from his first marriage john and wife fanny but these circumstances leave mr dashwoods current wife and daughters elinor marianne and margaret without a home and with barely enough money to live on as elinor and marianne struggle to find romantic fulfillment in a society obsessed with financial and social status they must learn to mix sense with sensibility in their dealings with both money and men
17,18,Four Rooms (1995),Comedy,Tim Roth Jennifer Beals Antonio Banderas Valeria Golino Ione Skye Lili Taylor Alicia Witt Tamlyn Tomita Salma Hayek Quentin Tarantino Bruce Willis Marisa Tomei Robert Rodriguez Robert Rodriguez Robert Rodriguez Quentin Tarantino Quentin Tarantino Quentin Tarantino Kane Hodderits ted the bellhops first night on the joband the hotels very unusual guests are about to place him in some outrageous predicaments it seems that this evenings room service is serving up one unbelievable happening after another
18,19,Ace Ventura: When Nature Calls (1995),Comedy,Jim Carrey Simon Callow Bob Gunton Sophie Okonedo Adewale Akinnuoye-Agbaje Bruce Spencesummoned from an ashram in tibet ace finds himself on a perilous journey into the jungles of africa to find shikaka the missing sacred animal of the friendly wachati tribe he must accomplish this before the wedding of the wachatis princess to the prince of the warrior wachootoos if ace fails the result will be a vicious tribal war
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Wesley Snipes Woody Harrelson Robert Blake Aida Turturro Vincent Pastore Dean Norris Julie Michaelswhen a vengeful new york transit cop decides to steal a trainload of subway fares his foster brother—a fellow cop—tries to protect him
20,21,Get Shorty (1995),Comedy|Crime|Thriller,John Travolta Gene Hackman Rene Russo Danny DeVito Jon Gries Miguel Sandoval Leslie Bega Harvey Keitel Bette Midler Danny DeVitochili palmer is a miami mobster who gets sent by his boss the psychopathic bones barboni to collect a bad debt from harry zimm a hollywood producer who specializes in cheesy horror films when chili meets harrys leading lady the romantic sparks fly after pitching his own life story as a movie idea chili learns that being a mobster and being a hollywood producer really arent all that different
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Sigourney Weaver Holly Hunter Dermot Mulroney Will Patton Suzanne Crowleyan agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past
22,23,Assassins (1995),Action|Crime|Thriller,Sylvester Stallone Antonio Banderas Julianne Moore Reed Diamond Lana Wachowski Lana Wachowskiassassin robert rath arrives at a funeral to kill a prominent mobster only to witness a rival hired gun complete the job for him  with grisly results horrified by the murder of innocent bystanders rath decides to take one last job and then return to civilian life but finding his way out of the world of contract killing grows ever more dangerous as rath falls for his female target and becomes a marked man himself
23,24,Powder (1995),Drama|Sci-Fi,Mary Steenburgen Sean Patrick Flanery Lance Henriksen Jeff Goldblumharassed by classmates who wont accept his shocking appearance a shy young man known as powder struggles to fit in but the cruel taunts stop when powder displays a mysterious power that allows him to do incredible things this phenomenon changes the lives of all those around him in ways they never could have imagined
24,25,Leaving Las Vegas (1995),Drama|Romance,Nicolas Cage Elisabeth Shue Julian Sands Richard Lewis Emily Procter Valeria Golino Ed Lauter R. Lee Ermey Mariska Hargitay Danny Huston Laurie Metcalf Shawnee Smith Xander Berkeleyben sanderson an alcoholic hollywood screenwriter who lost everything because of his drinking arrives in las vegas to drink himself to death there he meets and forms an uneasy friendship and noninterference pact with prostitute sera
25,26,Othello (1995),Drama,Laurence Fishburne Irène Jacob Kenneth Branagh Nicholas Farrell Michael Sheenthe evil iago pretends to be friend of othello in order to manipulate him to serve his own end in the film version of this shakespeare classic
26,27,Now and Then (1995),Children|Drama,Christina Ricci Thora Birch Melanie Griffith Gaby Hoffmann Demi Moore Devon Sawa Cloris Leachman Lolita Davidovich Hank Azaria Bonnie Hunt Brendan Fraser Demi Moorewaxing nostalgic about the bittersweet passage from childhood to puberty four childhood girlfriends — teeny chrissy samantha and roberta — recall the magical summer of 1970 during their walk down memory lane they reconcile experiences with boys secrets bullies and more
27,28,Persuasion (1995),Drama|Romance,Ciarán Hinds Fiona Shaw Sophie Thompsonanne elliot the daughter of a financially troubled aristocratic family is persuaded to break her engagement to frederick wentworth a young sea captain of meager means years later money troubles force annes father to rent out the family estate to admiral croft and anne is again thrown into company with frederick  who is now rich successful and perhaps still in love with anne
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Ron Perlman Mathieu Kassovitza scientist in a surrealist society kidnaps children to steal their dreams hoping that they slow his aging process
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Gong Lishanghai china 1930 when young shuisheng arrives from the countryside his uncle liushu puts him at the service of bijou the mistress of laoda supreme boss of the tang triad constantly threatened by his enemies both those he knows and those lurking in the shadows
30,31,Dangerous Minds (1995),Drama,Michelle Pfeiffer Courtney B. Vance Paula Garcésformer marine louanne johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious innercity high school after having a terrible first day she decides she must throw decorum to the wind when johnson returns to the classroom she does so armed with a nononsense attitude informed by her military training and a fearless determination to better the lives of her students  no matter what the cost
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Bruce Willis Madeleine Stowe Brad Pitt Christopher Plummer David Morse Jon Seda Christopher Meloni Terry Gilliamin the year 2035 convict james cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earths population and forced the survivors into underground communities but when cole is mistakenly sent to 1990 instead of 1996 hes arrested and locked up in a mental hospital there he meets psychiatrist dr kathryn railly and patient jeffrey goines the son of a famous virus expert who may hold the key to the mysterious rogue group the army of the 12 monkeys thought to be responsible for unleashing the killer disease
